Matriz de utilidad con predicciones:
[ 0.678 4.46 1.2 3.27 2.512 2.55 0.266 4.778 1.5 0.457 ]
[ 3.769 1.624 1.2 3.31 3.983 4.776 1.687 2.473 1.052 1.049 ]
[ 3.541 4.815 1.2 4.884 2.63 2.396 0.75 4.169 0.582 1.53 ]
[ 3.778 1.152 1.2 2.424 1.202 2.78 0.84 3.66 3.94 2.451 ]
[ 0.183 3.793 1.195 2.069 2.51 0.951 0.358 3.97 1.67 2.351 ]

Matriz de similitudes:
[0, 0.7054591645886906, 0.914577898770214, 0.4756819508806159, 0.8948026376983896]
[0.7054591645886906, 0, 0.8264731425785112, 0.7524261966412371, 0.47816221597020814]
[0.914577898770214, 0.8264731425785112, 0, 0.7020880552442968, 0.8745220448134532]
[0.4756819508806159, 0.7524261966412371, 0.7020880552442968, 0, 0.6137834016391546]
[0.8948026376983896, 0.47816221597020814, 0.8745220448134532, 0.6137834016391546, 0]

Vecinos seleccionados para cada usuario:
Usuario 0: Vecinos [2, 4, 1, 3]
Usuario 1: Vecinos [2, 3, 0, 4]
Usuario 2: Vecinos [0, 4, 1, 3]
Usuario 3: Vecinos [1, 2, 4, 0]
Usuario 4: Vecinos [0, 2, 3, 1]

Predicciones de valoraciones de usuarios:
Usuario 0 - Ítem 2: 1.2
Usuario 0 - Ítem 3: 3.27
Usuario 0 - Ítem 5: 2.55
Usuario 0 - Ítem 8: 1.5
Usuario 1 - Ítem 2: 1.2
Usuario 1 - Ítem 3: 3.31
Usuario 2 - Ítem 2: 1.2
Usuario 2 - Ítem 4: 2.63
Usuario 2 - Ítem 6: 0.75
Usuario 2 - Ítem 9: 1.53
Usuario 3 - Ítem 2: 1.2
Usuario 3 - Ítem 5: 2.78
Usuario 3 - Ítem 6: 0.84
Usuario 3 - Ítem 7: 3.66
Usuario 4 - Ítem 4: 2.51
Usuario 4 - Ítem 7: 3.97
Usuario 4 - Ítem 8: 1.67
