Matriz de utilidad con predicciones:
[ 0.678 4.46 1.2 1.65 2.512 1.81 0.266 4.778 0.0 0.457 ]
[ 3.769 1.624 0.0 0.0 3.983 4.776 1.687 2.473 1.052 1.049 ]
[ 3.541 4.815 1.14 4.884 0.93 2.396 0.37 4.169 0.582 0.14 ]
[ 3.778 1.152 0.0 2.424 1.202 0.0 0.0 0.0 3.94 2.451 ]
[ 0.183 3.793 1.195 2.069 0.0 0.951 0.358 1.73 0.0 2.351 ]

Matriz de similitudes:
[0, 0.046574482925552566, 0.8200547781952213, -0.7255785623019365, 0.7179802072914012]
[0.046574482925552566, 0, 0.07553219920098114, -0.1434100712495233, -0.5359894531306042]
[0.8200547781952213, 0.07553219920098114, 0, -0.7169668685959448, 0.6914168877271628]
[-0.7255785623019365, -0.1434100712495233, -0.7169668685959448, 0, -0.9313357891125387]
[0.7179802072914012, -0.5359894531306042, 0.6914168877271628, -0.9313357891125387, 0]

Vecinos seleccionados para cada usuario:
Usuario 0: Vecinos [2, 4, 1, 3]
Usuario 1: Vecinos [2, 0, 3, 4]
Usuario 2: Vecinos [0, 4, 1, 3]
Usuario 3: Vecinos [1, 2, 0, 4]
Usuario 4: Vecinos [0, 2, 1, 3]

Predicciones de valoraciones de usuarios:
Usuario 0 - Ítem 2: 1.2
Usuario 0 - Ítem 3: 1.65
Usuario 0 - Ítem 5: 1.81
Usuario 0 - Ítem 8: 0.0
Usuario 1 - Ítem 2: 0.0
Usuario 1 - Ítem 3: 0.0
Usuario 2 - Ítem 2: 1.14
Usuario 2 - Ítem 4: 0.93
Usuario 2 - Ítem 6: 0.37
Usuario 2 - Ítem 9: 0.14
Usuario 3 - Ítem 2: 0.0
Usuario 3 - Ítem 5: 0.0
Usuario 3 - Ítem 6: 0.0
Usuario 3 - Ítem 7: 0.0
Usuario 4 - Ítem 4: 0.0
Usuario 4 - Ítem 7: 1.73
Usuario 4 - Ítem 8: 0.0
